Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword
A1000,Data Analytics Course,104.0,4498.0,231.88,14.0,7.0,0.058,1892.0,2024-11-16,Hyderabad,Desktop,learn data analytics
A1001,Data Analytics Course,173.0,5107.0,216.84,10.0,8.0,0.046,1679.0,,Hyderabad,Mobile,data analytics course
A1002,Data Analytics Course,90.0,4544.0,203.66,26.0,9.0,0.1,1624.0,,Hyderabad,Desktop,data analitics online
A1003,Data Analytics Course,142.0,3185.0,237.66,17.0,6.0,0.04225352112676056,1225.0,2024-11-26,Hyderabad,Tablet,data anaytics training
A1004,Data Analytics Corse,156.0,3361.0,195.9,30.0,8.0,0.05128205128205128,1091.0,2024-11-22,Hyderabad,Desktop,online data analytic
A1005,Data Analytics Course,195.0,3776.0,243.57,10.0,8.0,0.041025641025641026,1315.0,,Hyderabad,Mobile,data anaytics training
A1006,Data Analytics Corse,116.0,4480.0,237.79,17.0,5.0,0.043,1640.0,,Hyderabad,Tablet,data analytics course
A1007,Data Analytics Corse,184.0,5060.0,229.61,23.0,3.0,0.016,1509.0,,Hyderabad,Tablet,analytics for data
A1009,Data Analytics Course,166.0,3355.0,186.78,24.0,9.0,0.054,1029.0,,Hyderabad,Mobile,online data analytic
A1010,Data Analytics Course,101.0,5399.0,236.79,20.0,6.0,0.059,1900.0,,Hyderabad,Desktop,learn data analytics
A1011,Data Analytics Corse,101.0,3613.0,208.12,24.0,5.0,0.05,1130.0,,Hyderabad,Desktop,online data analytic
A1012,Data Analytics Course,125.0,3259.0,191.3,18.0,3.0,0.024,1959.0,,Hyderabad,Desktop,data analitics online
A1013,Data Analytics Corse,196.0,3742.0,207.46,10.0,7.0,0.038,1623.0,,Hyderabad,Mobile,data anaytics training
A1014,Data Analytics Course,181.0,4311.0,185.09,11.0,9.0,0.05,1538.0,2024-11-04,Hyderabad,Desktop,data anaytics training
A1015,Data Analytics Course,102.0,5461.0,201.69,22.0,8.0,0.078,1755.0,2024-11-29,Hyderabad,Desktop,data analytics course
A1017,Data Analytics Course,149.0,4431.0,207.4,19.0,9.0,0.06,1693.0,,Hyderabad,Mobile,learn data analytics
A1018,Data Analytics Corse,150.0,3113.0,217.41,20.0,5.0,0.03333333333333333,1785.0,,Hyderabad,Mobile,analytics for data
A1020,Data Analytics Course,184.0,4143.0,223.3,10.0,10.0,0.044,1735.0,,Hyderabad,Tablet,learn data analytics
A1021,Data Analytics Corse,171.0,4154.0,184.23,30.0,7.0,0.041,1803.0,,Hyderabad,Tablet,data analitics online
A1022,Data Analytics Course,122.0,5187.0,211.24,27.0,6.0,0.049,1322.0,2024-11-20,Hyderabad,Desktop,online data analytic
A1023,Data Analytics Course,188.0,5798.0,230.17,28.0,5.0,0.047,1452.0,,Hyderabad,Tablet,data analytics course
A1025,Data Analytics Course,88.0,3349.0,181.92,22.0,8.0,0.091,1456.0,2024-11-20,Hyderabad,Tablet,learn data analytics
A1026,Data Analytics Course,119.0,5323.0,205.92,17.0,10.0,0.06,1656.0,2024-11-02,Hyderabad,Desktop,online data analytic
A1027,Data Analytics Corse,,5286.0,234.89,22.0,10.0,,1688.0,2024-11-21,Hyderabad,Desktop,data anaytics training
A1028,Data Analytics Course,128.0,5469.0,188.49,16.0,3.0,0.0234375,1783.0,2024-11-23,Hyderabad,Mobile,learn data analytics
A1029,Data Analytics Course,86.0,3351.0,237.75,21.0,9.0,0.105,1975.0,,Hyderabad,Mobile,analytics for data
A1030,Data Analytics Corse,188.0,4834.0,213.58,15.0,4.0,0.021,1590.0,2024-11-08,Hyderabad,Tablet,online data analytic
